# word<TAB>count — self-count of Gutenberg PD texts; not CC-BY-SA wordfreq
# Sources: pg11.txt, pg1661.txt, pg1342.txt, pg84.txt, pg46.txt, pg35.txt
mary	70
master	70
minute	70
self	70
talking	70
god	69
beauty	68
early	68
meet	68
neither	68
saying	68
truth	68
wood	68
appear	67
become	67
darkness	67
deal	67
doing	67
pride	67
real	67
seems	67
situation	67
dare	66
form	66
ve	66
write	66
age	65
former	65
greater	65
letters	65
paper	65
society	65
usual	65
arrived	64
boy	64
front	64
lived	64
ready	64
save	64
stay	64
chance	63
dinner	63
easily	63
easy	63
fact	63
fortune	63
garden	63
desire	62
exactly	62
fixed	62
free	62
joy	62
kindness	62
pain	62
road	62
settled	62
taking	62
themselves	62
tone	62
waiting	62
company	61
convinced	61
despair	61
george	61
hall	61
held	61
low	61
mock	61
purpose	61
regard	61
water	61
bright	60
de	60
everybody	60
except	60
fancy	60
laughed	60
lord	60
placed	60
seven	60
spent	60
tears	60
turning	60
turtle	60
whatever	60
behaviour	59
believed	59
clerval	59
court	59
excellent	59
instant	59
necessary	59
need	59
pleased	59
promise	59
sorry	59
twenty	59
view	59
absolutely	58
allowed	58
anyone	58
body	58
creatures	58
dance	58
danger	58
figure	58
fine	58
seem	58
sky	58
thank	58
threw	58
walking	58
allow	57
assure	57
circumstances	57
distance	57
expressed	57
girls	57
hopes	57
merely	57
meryton	57
news	57
pretty	57
terms	57
thinking	57
amiable	56
breakfast	56
bring	56
consider	56
corner	56
curiosity	56
discovered	56
expect	56
greatest	56
hatter	56
lips	56
listened	56
papers	56
presently	56
smile	56
soul	56
sudden	56
agreeable	55
ah	55
book	55
carried	55
copyright	55
daughters	55
grew	55
gryphon	55
hat	55
heavy	55
hurried	55
instead	55
justine	55
latter	55
obliged	55
occasion	55
pemberley	55
rabbit	55
satisfied	55
won	55
written	55
cut	54
degree	54
expression	54
further	54
kept	54
nephew	54
pass	54
pleasant	54
re	54
running	54
sleep	54
standing	54
weena	54
arm	53
assured	53
effect	53
gentlemen	53
marry	53
reached	53
sent	53
slight	53
step	53
stone	53
talked	53
wind	53
comfort	52
common	52
cottage	52
evil	52
living	52
match	52
pocket	52
police	52
serious	52
trees	52
astonishment	51
beside	51
blue	51
fair	51
following	51
forth	51
gentle	51
information	51
interesting	51
laid	51
probably	51
six	51
yours	51
bob	50
broken	50
caught	50
endeavoured	50
exclaimed	50
felix	50
green	50
loved	50
note	50
occurred	50
particular	50
particularly	50
please	50
steps	50
windows	50
wrong	50
address	49
advantage	49
bell	49
conduct	49
crime	49
died	49
dreadful	49
drove	49
fall	49
floor	49
formed	49
fresh	49
getting	49
memory	49
play	49
quick	49
rosings	49
trouble	49
